Ano,Acre,Amapá,Amazonas,Maranhão,Mato Grosso,Pará,Rondônia,Roraima,Tocantins
1999,347.0,101.0,1048.0,8712.0,44307.0,20478.0,7122.0,220.0,6687.0
2000,430.0,253.0,857.0,8983.0,26056.0,18201.0,5505.0,362.0,6554.0
2001,829.0,1300.0,1297.0,18696.0,33013.0,28590.0,5066.0,2415.0,9117.0
2002,6739.0,2664.0,8395.0,30464.0,69126.0,60238.0,28691.0,2466.0,14547.0
2003,10523.0,2516.0,10191.0,34548.0,70560.0,53040.0,30557.0,3987.0,12124.0
2004,7271.0,3413.0,8083.0,33585.0,97012.0,74214.0,40881.0,2221.0,15147.0
2005,15993.0,2020.0,15644.0,33691.0,72104.0,71477.0,41649.0,1461.0,16214.0
2006,6198.0,1665.0,11697.0,23302.0,43479.0,55840.0,25702.0,2189.0,10299.0
2007,8549.0,1484.0,11293.0,44765.0,79968.0,68491.0,27500.0,3244.0,25389.0
2008,5699.0,2153.0,6701.0,22122.0,29448.0,48449.0,11560.0,1950.0,10753.0
2009,3511.0,2456.0,9280.0,19132.0,15059.0,41664.0,5401.0,2359.0,6428.0
2010,8661.0,1000.0,12139.0,36277.0,59013.0,57196.0,16970.0,1918.0,29100.0
2011,3191.0,1396.0,5028.0,19315.0,17371.0,26563.0,6080.0,1475.0,10637.0
2012,4720.0,2518.0,9114.0,34299.0,27953.0,37221.0,8312.0,1376.0,19044.0
2013,4980.0,1529.0,6512.0,17455.0,18554.0,24046.0,4613.0,1395.0,9935.0
2014,4398.0,1848.0,9007.0,24675.0,24955.0,35526.0,7334.0,2519.0,14075.0
2015,5779.0,2936.0,13419.0,28436.0,27741.0,43164.0,13113.0,2452.0,15705.0
2016,7684.0,2595.0,11173.0,21789.0,27305.0,29724.0,11474.0,3870.0,14494.0
2017,6295.0,1946.0,11685.0,25576.0,30911.0,49770.0,11313.0,1565.0,15673.0
2018,6626.0,1206.0,11446.0,13892.0,18032.0,22080.0,10255.0,2383.0,8033.0
2019,6802.0,1277.0,12676.0,18521.0,31169.0,30165.0,11230.0,4784.0,13625.0
2020,9193.0,750.0,16729.0,16817.0,47708.0,38603.0,11145.0,1930.0,12093.0
